,Unnamed: 0,alg,country,h_cat,key_phrases,key_words,kmeans_augmented,label,lda,links,pmi,tfidf
202,42,kmeans_augmented,4,0.0,0.0,1.0,1,wines,0.0,0.0,0.023151798262902076,0.0053611075505556535
203,43,kmeans_augmented,4,0.0,0.0,1.0,1,bottle,0.0,0.0,0.023658151971205986,0.005290720053187197
204,44,kmeans_augmented,4,0.0,0.0,1.0,1,produced,0.0,0.0,0.013871246473730984,0.005125848604974422
205,45,kmeans_augmented,4,0.0,0.0,1.0,1,breweries,0.0,0.0,0.02488172344627145,0.004974025031784565
206,46,kmeans_augmented,4,0.0,0.0,1.0,1,drink,0.0,0.0,0.01778275993147202,0.00496249348358148
207,47,kmeans_augmented,4,0.0,0.0,1.0,1,brewing,0.0,0.0,0.022558402020845855,0.004777820125590869
208,48,kmeans_augmented,4,0.0,0.0,1.0,1,years,0.0,0.0,0.01107501790951388,0.004232163549026615
209,49,kmeans_augmented,4,0.0,0.0,1.0,1,production,0.0,0.0,0.011304636210667835,0.004220910730780807
210,50,kmeans_augmented,5,0.0,0.0,1.0,1,waters,0.0,0.0,0.07699522003969787,0.010563284272131136
211,51,kmeans_augmented,5,0.0,0.0,1.0,1,fisheries,0.0,0.0,0.09297687279351227,0.009282786409397541
212,52,kmeans_augmented,5,0.0,0.0,1.0,1,sea,0.0,0.0,0.0677468576532629,0.008996904066767527
213,53,kmeans_augmented,5,0.0,0.0,1.0,1,fishing,0.0,0.0,0.06664485294593793,0.008739167781702046
214,54,kmeans_augmented,5,0.0,0.0,1.0,1,females,0.0,0.0,0.08224468519106115,0.008051097324698988
215,55,kmeans_augmented,5,0.0,0.0,1.0,1,species,0.0,0.0,0.038553702187301614,0.007856181173588751
216,56,kmeans_augmented,5,0.0,0.0,1.0,1,eggs,0.0,0.0,0.03459050267393572,0.006337724557359807
217,57,kmeans_augmented,5,0.0,0.0,1.0,1,live,0.0,0.0,0.03893475276571725,0.0062031572353920955
218,58,kmeans_augmented,5,0.0,0.0,1.0,1,populations,0.0,0.0,0.046286404113976366,0.006017633456588692
219,59,kmeans_augmented,5,0.0,0.0,1.0,1,ocean,0.0,0.0,0.06348653138461904,0.005922526324535367
220,60,kmeans_augmented,6,0.0,0.0,1.0,1,cultivation,0.0,0.0,0.02989876970855232,0.007820062385050558
221,61,kmeans_augmented,6,0.0,0.0,1.0,1,leaves,0.0,0.0,0.02755981396736968,0.007818281668579567
222,62,kmeans_augmented,6,0.0,0.0,1.0,1,plants,0.0,0.0,0.02568370871130808,0.007739482444463238
223,63,kmeans_augmented,6,0.0,0.0,1.0,1,flowers,0.0,0.0,0.02969755631536605,0.007158790137773274
224,64,kmeans_augmented,6,0.0,0.0,1.0,1,seeds,0.0,0.0,0.026301016153626226,0.006887266733050357
225,65,kmeans_augmented,6,0.0,0.0,1.0,1,growing,0.0,0.0,0.02402957370693101,0.006803418765416527
226,66,kmeans_augmented,6,0.0,0.0,1.0,1,uses,0.0,0.0,0.016622864392888667,0.006053254735494561
227,67,kmeans_augmented,6,0.0,0.0,1.0,1,cultivars,0.0,0.0,0.025860846624501586,0.00578221716286929
228,68,kmeans_augmented,6,0.0,0.0,1.0,1,fruits,0.0,0.0,0.019098968812877263,0.005391404249010206
229,69,kmeans_augmented,6,0.0,0.0,1.0,1,varieties,0.0,0.0,0.015568984605651625,0.0049715238881655795
