,label,tfidf,pmi,augmented,LDA,plain,share,avg_borda,h_cat_tfidf,h_cat_pmi,links_tfidf,links_pmi,key_words_tfidf,key_words_pmi,key_phrases_tfidf,key_phrases_pmi,lda_tfidf,lda_pmi
403,propaganda,0.014893572681807087,0.05810123394610929,1,0,1,0.4230769230769231,1.4230769230769231,0.0,0.0,0.014893572681807087,0.05810123394610929,0.0,0.0,0.003340718324912549,0.012193922413889216,0.0,0.0
404,protein,0.016872015727545108,0.09570648180986076,1,1,1,0.1,0.2777777777777778,0.0,0.0,0.016872015727545108,0.09570648180986076,0.0,0.0,0.003805326217514169,0.019792337537896047,0.0,0.0
405,proteins,0.003636181893907981,0.019206876857977825,0,1,0,0.05555555555555555,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.003636181893907981,0.019206876857977825,0.0,0.0
406,protocol,0.009122148793336095,0.03641536238651998,1,0,1,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.009122148793336095,0.03641536238651998,0.00792574890484209,0.03132407401006128,0.0,0.0
407,provide,0.0059059364715616045,0.016844831689919064,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0059059364715616045,0.016844831689919064,0.0,0.0,0.0,0.0
408,published,0.007529549628738133,0.05551446144934767,0,1,0,0.16666666666666666,0.25,0.0,0.0,0.0,0.0,0.007529549628738133,0.04496837661603408,0.006046332999655514,0.05551446144934767,0.0,0.0
409,pulitzer_prize,0.01613470373862434,0.0629430034416184,1,0,1,0.07692307692307693,0.15384615384615385,0.0,0.0,0.01613470373862434,0.0629430034416184,0.0,0.0,0.0,0.0,0.0,0.0
410,radar,0.019893001117267026,0.13540578666578165,1,1,1,0.14285714285714285,0.7142857142857143,0.0,0.0,0.019893001117267026,0.13540578666578165,0.0,0.0,0.003850744491965855,0.02496162001005341,0.0,0.0
411,radio,0.005507361624561225,0.016773615909227827,1,0,0,0.1176470588235294,0.4117647058823529,0.0,0.0,0.0,0.0,0.004190023559450528,0.012678262303190174,0.005507361624561225,0.016773615909227827,0.0,0.0
412,recipes,0.010237963262222548,0.06692786546614476,0,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.006103977590137153,0.028419927499778355,0.010237963262222548,0.06692786546614476,0.0,0.0
413,references,0.012583569405779722,0.0465055081559936,1,1,1,0.16666666666666666,0.4117647058823529,0.0,0.0,0.0,0.0,0.0053914224942692044,0.013338152306958714,0.012583569405779722,0.0465055081559936,0.0,0.0
414,regional,0.004535170305657422,0.01720621312575809,1,0,1,0.06666666666666668,0.1176470588235294,0.0,0.0,0.0,0.0,0.004535170305657422,0.01720621312575809,0.0,0.0,0.0,0.0
415,registration,0.024475194250398992,0.15234431914211616,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.024475194250398992,0.15234431914211616,0.01480247423839124,0.07998859832789447,0.0,0.0
416,released,0.003413404503896581,0.011552150642371237,1,0,1,0.1176470588235294,0.43478260869565216,0.0,0.0,0.0,0.0,0.003413404503896581,0.011552150642371237,0.0,0.0,0.0,0.0
